Token,Patron,Lexema,Linea,Columna
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,jkfdskjdfskj,0,1,
LEXICAL_ERROR_unknow_lexeme,lkñjdsflkafds,lkñjdsflkafds,0,14,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,fsdljkasdfljkdfa,0,28,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,dsfjlkdsfaklj,0,45,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,jlkfdskljdfsa,1,2,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,lkjasdflkjadfs,2,2,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,k,3,2,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,fj,3,4,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,dfkjadsl,3,7,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,djkf,3,16,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,dfjasl,3,21,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,dfakdlsfj,3,28,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,sdflksdjf,3,38,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,sdfja,3,48,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,sdf,3,54,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,int,3,58,
KEYWORD,def,def,3,62,
COMMENT,# [.*] \n,# esto es un comentario completo //djfksdjflas,3,66,
COMMENT,# [.*] \n,# esto es un comentario completo //djfksdjflas,4,66,
CONSTANT,[a-z|A-Z|0-9|]+,"dsfnosecomosellama",4,6,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,jflkd,4,24,
CONSTANT,[a-z|A-Z|0-9|]+," jfjkd ",4,30,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,fjdsjlkd,4,40,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,fdjdfsjkdja,4,49,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,aslsddf,4,61,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,csansd,4,69,
ARITHMETIC,+,+,4,76,
ARITHMETIC,-,-,4,78,
ARITHMETIC,*,*,4,80,
ARITHMETIC,*,*,4,82,
ASSIGNAMENT,**=,**=,4,84,
ASSIGNAMENT,=,=,4,88,
CONSTANT,[0 - 9]+  | ( [ 0 - 9]+ . [ 0 - 9] +  | [ 0 - 9]+ . [ 0 - 9] + f),506,4,90,
